username,verified,top_hashtags
westclau_,FALSE,"lipproducts, glossylips, lipgloss, revlon, lipstick, viralmakeup, blackcherry, naturallips, lowcost, liplover, wintervibes, blushtrend, blush, aztk, cbeauty"
blossom5113,FALSE,"kbeauty, makeup, lippies, beauty, koreanmakeup, liptint, wonyoungism, lipcombo, wonyoung, pink, clio, lipglosses, coquette, cbeauty, lipstick"
its.mawii,FALSE,"koreanskincare, kbeauty, skincare, gopicky, pickyreview, centellian24, glassskin, collagenmask, sensitiveskin, collagen, toner, complimentary, thayers, thayersambassador, pickyxcentellian24"
torilatise,FALSE,"alopecia, raleighnc, dubaichocolate, dubaichocolatelatte, oneskin, skinlongevity, scalpcare, getbacktoyourroots, oneskinpartner, betterworldfragrancehouse, summermink, fragrance, adulthood, lesinfusionsdeprada, giftedbypradabeauty"
etherealskinwithrinny,FALSE,"kbeauty, contentcreator, beauty, skincare, skincareroutine, ugccreator, unboxing, asmr, haul, koreanskincare, girlythings, beautytok, ugc, haultok, blackfridaydeals"
megnugs2,FALSE,"kbeauty, makeup, fyp, pink, targetaudience, haul, girls, unboxing, cbeauty, viral, beauty, foryou, yesstyle, jbeauty, wonyoungism"
alotta_reviews,FALSE,"skincareroutine, selfcare, skincaregoals, glowingskin, kbeauty, healthyskin, koreanskincare, sensitiveskin, skincareessentials, skincarecommunity, cleanbeauty, glowup, beautytips, beautyroutine, fyp"
voguereview,FALSE,"lipcombo, newmakeup, blush, benetint, earlyaccess, liptint, benefitcosmetics, flush, kendricklamar, jeans, flarejeans, super, superbowlhalftimeshow, halftimeshow, kendricksuperbowl"
sydneychriistensen,FALSE,"loveonthespectrum, abbeyanddavid, loveonthespectrumseason3, californiaallstars, blackops, cheerleadingworlds, makeup, grwm, beauty, lifestyle, vlog, makeuplook, skincare, empties, emptiesreview"
life.bynoeee,FALSE,"ugccreator, ugc, makeup, microinfluencer, beauty, pr, amika, explore, makeuplover, creatorsearchinsights, prunboxing, explorepage, viralvideo, dior, parati"
adriannamg12,FALSE,"makeup, fyp, lipbalm, lipproducts, makeuplover, skincare, elfcosmetics, frecklemakeup, beauty, affordablemakeup, lipgloss, elflipbalm, lipstick, makeupcollection, makeupproducts"
itsreal_lmb,FALSE,"fyppppppppppppppppppppppp, 5yearstogether, unboxing, ipadair5, hardworkpaysoff, selfinvested, ugccreator, ipad, ipadair, unboxingvideo, ugccommunity, fyp, beach, civagostyle, stayhydrated"
lovebirsu,FALSE,"fy, fyp, skincare, skintok, beauty, glassskin, kbeauty, brightening, selfcare, koreanglassskin, hyperpigmentation, numbuzin, glutathione, glowup, koreanskincare"
_dollylqve,FALSE,"fyp, kbeauty, makeup, girly, pink, viralmakeup, selfcare, plush, plushies, getahug, asmr, koreanmakeup, kbeautymakeup, lipgloss, cutesy"
yunalome,FALSE,"haircut, parents, korean, canadian, bob, greenscreen, greiving, love, creativeinspiration, dailyvlog, landscape, journeyoflife, comfortfood, greifjourney, vlogtiktok"
vannahluv,FALSE,"contentcreator, asiancontentcreator, outfitideasforyou, outfitoftheday, casualoutfits, styleguide, outfitsinspo, springfashion, outfitinspo, simpleoutfits, whatsavannahiswearing, casualoutfitideas, casualstyle, springclothes, neutraloutfits"
teresatpham,FALSE,"jax, 904, jacksonville, jaxfoodie, 904eats, 904happyhour, asianfood, food, holiday, christmas, christmaslights, xmas, stufftodojax, aritzia, aritziastyleadvisor"
cla.audia,FALSE,"breakup, ex, healingjourney, healingprocess, healingtiktok, tatemcrae, itsokimok, beachvibes, beach, aries, pov, kbeauty, single, gifted, bluespirulina"
kimberly.cat,FALSE,"thingstodo, asmrsounds, pinterestaesthetic, foryou, productivity, trending, cleanwithme, cleaningmotivation, pinterestinspo, thatgirl, softgirl, sundayreset, cleaningszn, cleantok, fyp"
regina_ugc_,FALSE,"ugcvideo, ugccreator, ugcexample, productvideography, behindthescenes, ugccontentcreator, bts, whatiseewhatyousee, theprocessvstheresult, ugcusa, ugc, haircareroutine, gisou, gisouhairperfume, haircare"
louysasdiaries,FALSE,"girlythings, girltherapy, morningdiaries, morningroutine, pinterestaesthetic, softgirlaesthetic, pinktok, pinkmorning, pinkaesthetic, morningvlog, sundayreset, girlytok, girlyvibes, girlaesthetics, girlyaesthetic"
her.lifestyle.pri,FALSE,"fyp, nursesoftiktok, nurse, nurselife, nepalitiktok, nursetok, funnynursevideos, viralnurse, nepalinurse, nursehumor, funnyvideos, explore, asmr, itgirl, rnbvibes"
curly.qaya,FALSE,"curlswithqaya, southafricancontentcreator, curlyhair, beginnercurlyhair, curlyhairbeginner, creatorsearchinsights, fyp, architecturestudent, affordablehairproducts, curlyhairstyles, plussizefashion, mrpbethenext, bestcurlyhairproducts, mrpricefashion, architecturegraduate"
Hikarifleurr,FALSE,"nostalgia, y2k, brendasong, ad, girlygirl, plutotv, blackhistorymonth, whitechicks, blackmovies, girlythings, early2000s, disney, disneychannel, londontipton, girlyaesthetic"
tatgiraldi ,FALSE,"fyp, parati, haircareroutine, grwm, canong7x, vacation, skincare, aprilskin, hyperpigmentation, darkspot, pores, glassskin, skintok, tiktokshopnewarrivals"
jocy.cs ,FALSE,"mixsoon, koreanskincare, glassskin, skincareroutine, skintok, tiktokmademebuyit, kbeautyaddict, koreanfacemask, mixsooncollagenmask, babyoil, hair, hairtok, softhair, hairtips, shinyhair"
dearrruzzi,FALSE,"morningroutine, morningmotivation, wellness, motivation, 5amclub, 5ammorningroutine, productivemorning, productivemorningroutine, thatgirlroutine, thatgirlmorningroutine, thatgirl, morningvibes, skincareroutine, morningskincareroutine, fyp"
itsfufumochii,FALSE,"tiktokgrowth, tiktokgrowthtips, growingontiktok, engaging, creatorsearchinsights, couplegoals, couplestiktok, koreanmakeup, couple, coupleschallenge, dateideas, scrapbooking, koreanbeauty, pr, teamwork"
paolainatl,FALSE,"makeup, aesthetic, unboxingvideo, unboxing, skincare, ipad, ipadair, ipadair5, appleipad, skincareroutine, stevemadden, aestheticshoes, hermesoran, dupes, skincaretips"
happy.bluedino,FALSE,"skincareroutine, glowingskin, skincareaddict, kbeauty, koreanskincare, skincareessentials, glowup, skincaregoals, skincarelover, hydratedskin, kbeautyroutine, hydrationboost, radiantskin, hydratedglow, creatorsearchinsights"
ninislildiary,FALSE,"ugc, influencer, contentcreator, ugccommunity, ugccreator, explore, ugcexample, ugccontent, socialmedia, reels, fyp, relatable, trend, viral, pr"
nakeziaa,FALSE,"contentcreator, contentcreation, yslloveshine, koreanskincare, fyp, relatable, kbeauty, abib, teca, motherdaughter, bestieduo, bestfriendsforever, jakartacafe, microinfluencerclub, roseskinco"
teacuppuppycoco,FALSE,"provencebeautyglow, frenchskincare, snackwithfitcrunch, foodtok, healthydessert, provenceskincare, ad, snacktok, trufru, cheggcreator, smallstepsftw, grwm, sweettreat, skincare, dreampairs"
strawberry_shalyn,FALSE,"capcut, makeuplovers, memecut, makeupcollection, makeupcollector, memenatal, meme, beautylovers, couplesgoals, skincarelovers, kbeauty, walmartfinds, decluttering, organizewithme, declutter"
sophie_bskin,FALSE,"crultyfreeskincare, veganskincare, naturalskincare, healthyskin, skincare, pr, skintok, skincare101"
itsbreeeva,FALSE,"fyp, contentcreator, girlssupportgirls, fashiontiktok, teamwork, stylewithme, christmastiktok, mentalhealth, mentalhealthmatters, creatorfund, cleantok, spendthedaywithme, valentinesday, valentinesfinds, loveseason"
