Column1,account,follower,following,first_upload_date
234,glosshouse,89000,610,2019-11-20
235,selinadasilvaa,780200,160,
236,misspeytonsmith,171200,311,
237,ksuuuushaxx,99900,83,2022-01-16
238,maya.videodiary,558800,137,2023-07-10
239,ssoul_korean,18400,264,
240,baysavevo,5002,302,
241,ofeemi7,101800,115,
242,allierosss,703300,122,2020-03-30
243,lavendaire,106400,561,2017-08-28
244,skinorbits,56000,126,2021-10-24
245,ugc_emma9,965,681,
246,loriebelle.ugc,2079,552,2023-06-27
247,ugcwithsahar,1121,325,
248,lovinglynat,923,680,2023-12-26
249,lindsaymae_,3369,1140,
250,natik4s,1867,2262,2020-09-12
251,natik4s,1867,2262,2020-09-12
252,natik4s,1867,2262,2020-09-12
253,natik4s,1867,2262,2020-09-12
254,rosselyreviews,1356,1363,
255,reviews_by_bee,1032,316,2024-03-26
256,ugcwithjag,1039,693,
257,hushhalohue,5478,804,
258,nishi.prajapati,1072,676,
259,glow.like.korea,400,157,
260,steph.lynnn,5475,370,2020-04-17
261,britnorman_,21900,430,
262,lexlovesmakeup,1074,387,
263,as.a.skincare,1339,328,
264,exquisiteexplorerig,1282,915,
265,jadebaebae,57300,67,
266,yepmanythings,965,201,
267,xo.lolaenriquez.xo,1374,853,
268,westclau_,35900,60,
269,shannenbudihardjo,115,151,
270,blossom5113,7086,243,
271,itsugcgirl,98,176,
272,roselinni_,5224,357,
273,idontkaee,2293,398,
274,ugcshar,1469,220,
275,bebethssi,1318,101,
276,h.annahyu,136,174,
277,topnotchmarvellous,1701,2535,
278,rawanalani4,14300,1447,
279,halfasianhalfwhitegirl?ug_source=op.auth&ug_term=Linktr.ee&utm_source=awyc6vc625ejxp86&utm_campaign=tt4d_profile_link&_r=1,25700,572,
280,torilatise,61000,310,
281,neetimathur0,139,670,
282,_jueun.em,147600,23,
283,hi_imtiffanyyaa,21400,280,
284,etherealskinwithrinny,1176,655,
285,megnugs2,6309,218,
286,alotta_reviews?_t=8mC7rYnOnIl&_r=1,954,1356,
287,addicted.to.skincare,27500,308,
288,s.beauty.makeup12,1005,211,
289,thiglossglow,186,291,
290,voguereview?_t=8lOsSbxaj2E&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAacPyoomlbf9JrgDAnZS-wpcYAJlQjFGgWB1nBTElf44CzBSvgpAFusqKvRdCg_aem_fCcesIKUQJmW41RQGdtUTA,1035,271,
291,sydneychriistensen,7152,226,
292,adriannamg12,528,1738,
293,lovebirsu,2613,732,
294,caspertheghostyy,464200,960,
295,mirrr_0,11500,460,
296,anouchkagauthier,16100,538,
297,delaneychilds,380000,694,
298,xanaroman,4573,298,
299,atosaaghakhani,589100,703,
300,jonnettesalazar,20800,564,
301,aavaalfaro,2500000,52,
302,itstherealkimshady,393600,643,
303,yunalome,22400,1001,
304,i.an.ya.i,506500,294,
305,seni.mph,153000,479,
306,haileydrewpolk,316700,235,
307,dyknicx,1470,430,
308,beautybysherika,3499,468,
309,teresatpham,2777,290,
310,cla.audia,3388,3616,
311,ollyoffe,37300,160,
312,kimberly.cat,357500,280,
313,regina_ugc_,18000,649,
314,melii.mar_,2317,176,
315,isabellammoniz,10900,1209,
316,evesbeautylife,975,642,
317,urcreatorsophia?lang=uk-ua,152,259,
318,skincare_with_kylie?_t=8gQWwuOvMty&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAafQ_lsLO4oMSRhqkLbTlvVW51QlmrwITSni4ymBfOnKGrIV6C5Y8RvFfBuFEg_aem_yz9mOS6oPezr0TnTvrmJ-Q,51,462,
319,louysasdiaries?_t=8pzu2dw6f8s&_r=1,6632,141,
320,her.lifestyle.pri?is_from_webapp=1&sender_device=pc,6818,1004,
321,curly.qaya,1363,629,
322,Hikarifleurr,120300,211,
323,isa.remolina,20100,207,
324,bysydneyelizabeth,19100,628,
325,nicocodiaz,14000,628,
326,flaqneur,19800,2398,
327,cupidkahei,18700,2565,
328,tatgiraldi,63600,120,
329,bellarmrz,812300,307,
330,sophie_graceeee,88500,247,
331,mekenziehwkr,45300,517,
332,elle.sneller,21000,629,
333,jocy.cs,342500,177,
334,isabelleclarkee,374100,176,
335,sara.xts,245400,97,
336,livvvmarkley,135700,842,
337,paolainatl,13200,2779,
338,ninislildiary,2591,1415,
339,xo.yokov,7011,549,
340,heyitsclarissaa,1349,473,
341,nakeziaa,131600,188,
342,teacuppuppycoco,22600,282,
343,strawberry_shalyn,6985,2318,
344,Thatbaileygal,27,66,
345,sophie_bskin,1038,594,
346,beautifaasillage,14200,1362,
347,contentbykessa,10000,779,
348,glowwithzo,12200,697,
349,nicholi.ugc,2403,957,
350,themelanin.method,21500,1236,
351,socialwithmc,12200,309,
352,itsbreeeva?_t=8p5M8Wf58q1&_r=1,2022,1993,
