username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
bethyful_kbeauty,367,5.0,1.0K,5.0,2020-08-21,False,"kbeauty, koreanskincare, creatorsearchinsights, skincarerecommendations, arencia, acneproneskin, creatorsearchinsight, oilyskin, cleanser, arenciacleanser, mochicleanser, arenciamochicleanser, oilyskincareroutine, cleanserrecommendation, abib"
betweendots,748,2.0,798,2.0,2020-04-16,False,"kbeauty, kskincare, 365skincare, skincareroutine, koreańskiekosmetyki, koreanskincare, kosmetyki, korejskakozmetika, productphotography, abcommunity, skinalgo, texturetuesday, 피부, koreancosmetic, kbeautyroutine"
blossom5113,2.5K,6.0,4.4K,9.0,,False,"kbeauty, makeup, lippies, beauty, koreanmakeup, liptint, wonyoungism, lipcombo, wonyoung, pink, clio, lipglosses, coquette, cbeauty, lipstick"
bosslady__carla,1.4K,73.0,9.6K,98.0,2021-11-30,False,"atlcontentcreator, atlcreator, contentcreator, healthcareworker, community, skincare, creatorsearchinsights, youthtothepeople, healthcare, content, dayinmylife, jeeplife, capcut, postthatcontent, beautycreator"
brendasbeautyblog_,264,1.0,294,1.0,2019-09-06,False,"fyp, foryou, parati, prgifted, skincaretiktok, foryourpage, koreanskincare, contentcreator, ugccontentcreator, kbeauty, beautytok, paratii, skincare, ugccreator, glowup"
britnorman_,2.1K,3.0,2.1K,7.0,2022-08-07,False,"beauty, makeup, toddlermom, girlmom, pregnant, skincare, pregnancy, beautytok, momsoftiktok, pregnantlife, dermablend, dermablendcanada, 2ndtrimester, 3rdtrimester, momlife"
by_ashmariee,558,9.0,663,10.0,2024-01-08,False,"fyp, selfcare, selflove, dayinthelife, selfimprovement, girlythings, minivlog, skincare, skincareroutine, justagirl, fragrance, perfumereview, nailinspo, bodycare, nailjunkie"
bythreewishes,716,1.0,23.0K,7.0,2020-10-13,False,"nyctodo, nycactivities, freenycpopup, nycfreethingstodo, nycphotobooth, photobooth, duet, dealsandsteals, makeuphacks, makeupdeals, charlottetilbury, nycshopping, woodburycommon, woodburycommonpremiumoutlets, upstateny"
carmelk1,223,2.0,223,2.0,2021-11-10,False,selflove🥰😍🫶🏾..
celinedamji,,,,,2023-03-14,False,"fyp, arabwomen, browngirlproblems, arabcomedy, thestruggles, browngirls, beingarab, waxing, ugccommunity, ugccreator, yyzevents, torontoactivities, thingstodotoronto, torontodateideas, torontofood"
chen.ugc,580,2.0,2.1K,13.0,,False,"ugccreator, ugc, ugccontent, ugccommunity, influencer, prpackages, prpackage, pr, aesthetic, ugccontentcreator, skincare, fyp, productreview, fyppppppppppppppppppppppp, makeup"
chilibeauty1201,652,2.0,953,3.0,2024-10-07,False,"skincare, makeup, maquillaje, kbeauty, farm, gloss, aesthetic, country, selfcare, grwm, farmhome, skincareroutine, korean, showerroutine, home"
chloelouiseliveslife,1.3K,4.0,14.6K,24.0,2023-12-28,False,"superdrugpresents, superdrug, justgirlythings, superdrugpresentsevent, superdrugevent, makeupevent, primarkmakeup, primarkfinds, primarknewin, newinprimark, primarkshopping, primarkuk, homebargains, girlsgroupchat, girlygroupchat"
chloemedeiros,464,2.0,1.0K,3.0,2023-04-17,False,"makeup, beauty, fyp, firstimpression, makeuproutine, affordablemakeup, makeupreview, makeupswatches, makeuptutorials, drugstoremakeup, 2025, gymmakeup, grwmmakeup, workoutroutine, naturalmakeup"
