username,total_views,likes,total_comments,total_video_shares,total_engagements,median_views,median_likes,median_comments,median_video_shares
skinwithclods,1,14.9K,N/A,N/A,,,,,
greyyychoi,1,145.4K,N/A,N/A,,,,,
heartz4pitii,1,822.9K,N/A,N/A,,,,,
mattrandon,1,52.1M,N/A,N/A,,,,,
melon_park,1,58.3M,N/A,N/A,,,,,
_lilyis,1,26.9M,N/A,N/A,,,,,
keytoglo,1,995,N/A,N/A,,,,,
abbyrosemaureen,1,625.2K,N/A,N/A,,,,,
kiki.dee__,1,819,N/A,N/A,,,,,
denitsab3auty,1,8.9K,N/A,N/A,,,,,
lilac__05,1,24.0K,N/A,N/A,,,,,
dreamyglowyskin,1,1.3K,N/A,N/A,,,,,
bethyful_kbeauty,1,11.9K,N/A,N/A,,,,,
maddysbeautytalk,1,5.9K,N/A,N/A,,,,,
lovemisomeskin,1,22.7K,N/A,N/A,,,,,
ugcwithkpm,1,2.9K,N/A,N/A,,,,,
betweendots,1,2.9K,N/A,N/A,,,,,
chen.ugc,1,16.2K,N/A,N/A,,,,,
aera.ugc,1,1.0K,N/A,N/A,,,,,
skincarewithxia_,1,11.8K,N/A,N/A,,,,,
skinhippie27,1,20.3K,N/A,N/A,,,,,
klea.sotiri,1,28.1K,N/A,N/A,,,,,
zahraxbeauty,1,10.1K,N/A,N/A,,,,,
katysayfi,1,19.5K,N/A,N/A,,,,,
sonuugrg_,1,40.9K,N/A,N/A,,,,,
anika_kozlova,1,1.1M,N/A,N/A,,,,,
itstessjohnson,1,10.3K,N/A,N/A,,,,,
looksbyhiba,1,9.0K,N/A,N/A,,,,,
itsmelissaga,1,455.1K,N/A,N/A,,,,,
zoe.aesthetic.grw,1,7.2K,N/A,N/A,,,,,
thedikshadiary,1,1.7K,N/A,N/A,,,,,
akshayareddykontham,1,204,N/A,N/A,,,,,
lifestylewithfatima,1,180.3K,N/A,N/A,,,,,
bosslady__carla,1,187.4K,N/A,N/A,,,,,
thehydratedhunny,1,39.3K,N/A,N/A,,,,,
grace_forevermore_,1,29.4K,N/A,N/A,,,,,
brendasbeautyblog_,1,5.1K,N/A,N/A,,,,,
curateandglow,1,11.6K,N/A,N/A,,,,,
nizvetsbeautydiaries,1,10.7K,N/A,N/A,,,,,
hijabiskinfluencer,1,19.2K,N/A,N/A,,,,,
skincarepessimist,1,418,N/A,N/A,,,,,
mottaskin,1,127.9K,N/A,N/A,,,,,
zwonylen,1,1.4M,N/A,N/A,,,,,
stephaniienini,1,71.5K,N/A,N/A,,,,,
glam._diaries,1,25.2K,N/A,N/A,,,,,
sashask1n,1,31.9K,N/A,N/A,,,,,
ugc.by.zainab,1,4.6K,N/A,N/A,,,,,
dearkisha_,1,20.5K,N/A,N/A,,,,,
nattylattie,1,3.7K,N/A,N/A,,,,,
celinedamji,1,15.3K,N/A,N/A,,,,,
liansloves,1,500.3K,N/A,N/A,,,,,
andie_sorto,1,36.2K,N/A,N/A,,,,,
melinamujer,1,3.9K,N/A,N/A,,,,,
irisoyeon_,1,2.7K,N/A,N/A,,,,,
_arishasheikh,1,5.5K,N/A,N/A,,,,,
hanahdewybae,1,589.9K,N/A,N/A,,,,,
gemavm10,1,4.1K,N/A,N/A,,,,,
keirrawebster,1,182.9K,N/A,N/A,,,,,
ugcbyjamie,1,369.4K,N/A,N/A,,,,,
badblory,1,234.4K,N/A,N/A,,,,,
sya.skin,1,110.6K,N/A,N/A,,,,,
skincareuprising,1,14.3K,N/A,N/A,,,,,
beauty_viridiana_,1,84.9K,N/A,N/A,,,,,
emileerachel,1,6.9K,N/A,N/A,,,,,
timeforrice,1,4.2K,N/A,N/A,,,,,
jhamheartsthis,1,163.8K,N/A,N/A,,,,,
aglimpseofglow,1,2.6K,N/A,N/A,,,,,
mariana.ugc,1,4.2K,N/A,N/A,,,,,
tashfia____,1,21.7K,N/A,N/A,,,,,
