,날짜,s&p500 종가,s&p500 시가,s&p500 고가,s&p500 저가,s&p500 변동 %,환율 종가,환율 시가,환율 고가,환율 저가,환율 변동 %
49,2024- 06- 17,"5,473.23","5,431.11","5,488.50","5,420.40",0.77%,"1,378.46","1,383.31","1,384.41","1,377.81",-0.24%
48,2024- 06- 18,"5,487.03","5,476.15","5,490.38","5,471.32",0.25%,"1,378.64","1,379.94","1,385.97","1,377.63",0.01%
47,2024- 06- 20,"5,473.17","5,499.99","5,505.53","5,455.56",-0.25%,"1,391.93","1,382.45","1,393.56","1,380.03",0.79%
46,2024- 06- 21,"5,464.62","5,466.77","5,478.31","5,452.03",-0.16%,"1,387.01","1,392.64","1,393.94","1,385.92",-0.35%
45,2024- 06- 24,"5,447.87","5,459.58","5,490.66","5,447.59",-0.31%,"1,386.37","1,388.95","1,393.22","1,384.48",-0.05%
44,2024- 06- 25,"5,469.30","5,460.73","5,472.88","5,446.56",0.39%,"1,390.44","1,386.79","1,392.64","1,383.85",0.29%
43,2024- 06- 26,"5,477.90","5,460.71","5,483.14","5,451.87",0.16%,"1,392.90","1,391.58","1,395.25","1,387.66",0.18%
42,2024- 06- 27,"5,482.87","5,473.59","5,490.81","5,467.54",0.09%,"1,386.35","1,394.31","1,395.77","1,383.49",-0.47%
41,2024- 06- 28,"5,460.48","5,488.48","5,523.64","5,451.12",-0.41%,"1,380.73","1,387.71","1,390.18","1,374.64",-0.41%
40,2024- 07- 01,"5,475.09","5,471.08","5,479.55","5,446.53",0.27%,"1,382.50","1,381.28","1,385.57","1,377.29",0.13%
39,2024- 07- 02,"5,509.01","5,461.84","5,509.69","5,458.43",0.62%,"1,386.03","1,383.53","1,390.82","1,381.87",0.26%
